"Time","vo_sen:Measured voltage"
0,-0.034220091073016184
9.9999999999999995e-08,-0.037137229823591814
1.9999999999999999e-07,-0.039536357495726412
2.9999999999999999e-07,-0.041520184356429075
3.9999999999999998e-07,-0.043169739306031858
4.9999999999999998e-07,-0.044550058814851412
5.9999999999999997e-07,-0.045713295986356831
6.9999999999999997e-07,-0.046860311731286658
7.9999999999999996e-07,-0.047885018199700355
8.9999999999999996e-07,-0.048787969846924205
9.9999999999999995e-07,-0.049592490419181207
1.1000000000000001e-06,-0.050317298534173507
1.1999999999999999e-06,-0.05097741826675993
1.2999999999999998e-06,-0.051584909654996389
1.3999999999999999e-06,-0.052149454754204738
1.5e-06,-0.052678827803453857
1.5999999999999999e-06,-0.053179272420425014
1.6999999999999998e-06,-0.053655804209157179
1.7999999999999999e-06,-0.054112453529759241
1.9e-06,-0.054552460262645597
1.9999999999999999e-06,-0.054978430060044395
2.0999999999999998e-06,-0.055392459700401298
2.2000000000000001e-06,-0.055796237655364692
2.3e-06,-0.056191124770889556
2.3999999999999999e-06,-0.056578218994751975
2.4999999999999998e-06,-0.056958407305182007
2.5999999999999997e-06,-0.057332407371501526
2.7e-06,-0.057700800977187598
2.7999999999999999e-06,-0.058064060834280548
2.8999999999999998e-06,-0.058422572095948005
3.0000000000000001e-06,-0.058776649615603707
3.1e-06,-0.059126551793665771
3.1999999999999999e-06,-0.059472491686720676
3.2999999999999997e-06,-0.059814645920428705
3.3999999999999996e-06,-0.059910272454094415
3.4999999999999999e-06,-0.060069573003057507
3.5999999999999998e-06,-0.060230554107439778
3.6999999999999997e-06,-0.06039205854061707
3.8e-06,-0.060553092606289882
3.8999999999999999e-06,-0.060712927896186222
3.9999999999999998e-06,-0.060870944852732436
4.0999999999999997e-06,-0.061026671992052486
4.1999999999999996e-06,-0.061179808575588357
4.2999999999999995e-06,-0.061329955464624733
4.4000000000000002e-06,-0.061476938003643108
4.5000000000000001e-06,-0.061620596066579464
4.6e-06,-0.061760762561343767
4.6999999999999999e-06,-0.062389406556262982
4.7999999999999998e-06,-0.063011877292501281
4.8999999999999997e-06,-0.063567304331831553
4.9999999999999996e-06,-0.064068423712383471
5.0999999999999995e-06,-0.064525457801770436
5.1999999999999993e-06,-0.064946612370822707
5.3000000000000001e-06,-0.065338475317086392
5.4e-06,-0.065706336543892754
5.4999999999999999e-06,-0.066054444585942285
5.5999999999999997e-06,-0.06638621248934376
5.6999999999999996e-06,-0.066704382980688731
5.7999999999999995e-06,-0.067011160975472273
5.8999999999999994e-06,-0.067308319884277157
6.0000000000000002e-06,-0.06759728689803074
6.1e-06,-0.067879211409075796
6.1999999999999999e-06,-0.068155019902828531
6.2999999999999998e-06,-0.068425459995369364
6.3999999999999997e-06,-0.068691135763280314
6.4999999999999996e-06,-0.068952536087624222
6.5999999999999995e-06,-0.069210057393468027
6.6999999999999994e-06,-0.069464021893189065
6.7999999999999993e-06,-0.069714692222657748
6.9e-06,-0.069962283183576696
6.9999999999999999e-06,-0.070206971164210902
7.0999999999999998e-06,-0.070448901697587912
7.1999999999999997e-06,-0.070688195525467457
7.2999999999999996e-06,-0.070924953463550655
7.3999999999999995e-06,-0.070434115763550312
7.4999999999999993e-06,-0.070210176448751077
7.6000000000000001e-06,-0.070039343266775828
7.6999999999999991e-06,-0.069910458326098157
7.7999999999999999e-06,-0.069814593776755529
7.8999999999999989e-06,-0.069744582421516849
7.9999999999999996e-06,-0.069694685198606138
8.1000000000000004e-06,-0.069660237894589291
8.1999999999999994e-06,-0.069637596355529879
8.3000000000000002e-06,-0.069623781572153792
8.3999999999999992e-06,-0.069616434150372303
8.4999999999999999e-06,-0.069613681214473214
8.599999999999999e-06,-0.069613983331837825
8.6999999999999997e-06,-0.070456955938792837
8.8000000000000004e-06,-0.071274991624883433
8.8999999999999995e-06,-0.071970649617797852
9.0000000000000002e-06,-0.072567762943415742
9.0999999999999993e-06,-0.073085455119868414
9.2e-06,-0.073539071497926323
9.299999999999999e-06,-0.073940926336323876
9.3999999999999998e-06,-0.074300902148339593
9.4999999999999988e-06,-0.074626930531980315
9.5999999999999996e-06,-0.074925377919573224
9.7000000000000003e-06,-0.075201355048299195
9.7999999999999993e-06,-0.075458965235327635
9.9000000000000001e-06,-0.075701503558520428
