"Time","I_L:Measured current"
0,0
9.9999999999999995e-08,0.057101333870663795
1.9999999999999999e-07,0.12284954108776014
2.9999999999999999e-07,0.18880569464894031
3.9999999999999998e-07,0.25493884695259428
4.9999999999999998e-07,0.32116068359455618
5.9999999999999997e-07,0.38752798392763405
6.9999999999999997e-07,0.44065085203593357
7.9999999999999996e-07,0.44048329540563863
8.9999999999999996e-07,0.44033355870333346
9.9999999999999995e-07,0.44013315759022253
1.1000000000000001e-06,0.44001886996732031
1.1999999999999999e-06,0.43983500785357305
1.2999999999999998e-06,0.43967837624705408
1.3999999999999999e-06,0.43947667472041829
1.5e-06,0.43923512422717154
1.5999999999999999e-06,0.43920267796267681
1.6999999999999998e-06,0.43900555780155792
1.7999999999999999e-06,0.4388218860573993
1.9e-06,0.43870623420362209
1.9999999999999999e-06,0.43853147266401571
2.0999999999999998e-06,0.43834906582348809
2.2000000000000001e-06,0.43814149359178767
2.3e-06,0.43792343660176347
2.3999999999999999e-06,0.43789590384164445
2.4999999999999998e-06,0.43772794786842351
2.5999999999999997e-06,0.43754545394414335
2.7e-06,0.43739668091790518
2.7999999999999999e-06,0.43719824810055186
2.8999999999999998e-06,0.43705109681780702
3.0000000000000001e-06,0.43690740332560529
3.1e-06,0.43672529812653027
3.1999999999999999e-06,0.43650910995628389
3.2999999999999997e-06,0.43635072362689237
3.3999999999999996e-06,0.48339353424565745
3.4999999999999999e-06,0.55355624458871777
3.5999999999999998e-06,0.62385753357888185
3.6999999999999997e-06,0.69416010779447901
3.8e-06,0.7646185166984043
3.8999999999999999e-06,0.83513359699374901
3.9999999999999998e-06,0.90578053591293206
4.0999999999999997e-06,0.9765532647662345
4.1999999999999996e-06,1.0471913781403916
4.2999999999999995e-06,1.118086155808802
4.4000000000000002e-06,1.1890480727357369
4.5000000000000001e-06,1.260023486120994
4.6e-06,1.3311352561651273
4.6999999999999999e-06,1.3879328845342287
4.7999999999999998e-06,1.3873902747264253
4.8999999999999997e-06,1.3868223070045718
4.9999999999999996e-06,1.3863370935432813
5.0999999999999995e-06,1.3857217445565275
5.1999999999999993e-06,1.3853669997247116
5.3000000000000001e-06,1.3848375297078204
5.4e-06,1.3842926349151894
5.4999999999999999e-06,1.3837573359445632
5.5999999999999997e-06,1.3832870990130701
5.6999999999999996e-06,1.3827543626583116
5.7999999999999995e-06,1.3822766489720093
5.8999999999999994e-06,1.3817509480902519
6.0000000000000002e-06,1.3812194506230813
6.1e-06,1.3807248318518541
6.1999999999999999e-06,1.3801903159396309
6.2999999999999998e-06,1.3796208104079215
