"Time","Q3:Device voltage"
0,0
9.9999999999999995e-08,3.0878487460744553
1.9999999999999999e-07,3.0974276922348589
2.9999999999999999e-07,3.1063305026930825
3.9999999999999998e-07,3.1146832950413836
4.9999999999999998e-07,3.1225875285356177
5.9999999999999997e-07,3.130124471073628
6.9999999999999997e-07,0
7.9999999999999996e-07,0
8.9999999999999996e-07,0
9.9999999999999995e-07,0
1.1000000000000001e-06,0
1.1999999999999999e-06,0
1.2999999999999998e-06,0
1.3999999999999999e-06,0
1.5e-06,0
1.5999999999999999e-06,0
1.6999999999999998e-06,0
1.7999999999999999e-06,0
1.9e-06,0
1.9999999999999999e-06,0
2.0999999999999998e-06,0
2.2000000000000001e-06,0
2.3e-06,0
2.3999999999999999e-06,0
2.4999999999999998e-06,0
2.5999999999999997e-06,0
2.7e-06,0
2.7999999999999999e-06,0
2.8999999999999998e-06,0
3.0000000000000001e-06,0
3.1e-06,0
3.1999999999999999e-06,0
3.2999999999999997e-06,0
3.3999999999999996e-06,3.304864745215752
3.4999999999999999e-06,3.3101536392801001
3.5999999999999998e-06,3.3154289541773627
3.6999999999999997e-06,3.3206894841005616
3.8e-06,3.3259337741336772
3.8999999999999999e-06,3.3311612024820589
3.9999999999999998e-06,3.3363710130893867
4.0999999999999997e-06,3.3415628096876042
4.1999999999999996e-06,3.3467368843667145
4.2999999999999995e-06,3.351892265733774
4.4000000000000002e-06,3.3570293074933524
4.5000000000000001e-06,3.3621481490736862
4.6e-06,3.3672486136572459
4.6999999999999999e-06,0
4.7999999999999998e-06,0
4.8999999999999997e-06,0
4.9999999999999996e-06,0
5.0999999999999995e-06,0
5.1999999999999993e-06,0
5.3000000000000001e-06,0
5.4e-06,0
5.4999999999999999e-06,0
5.5999999999999997e-06,0
5.6999999999999996e-06,0
5.7999999999999995e-06,0
5.8999999999999994e-06,0
6.0000000000000002e-06,0
6.1e-06,0
6.1999999999999999e-06,0
6.2999999999999998e-06,0
6.3999999999999997e-06,0
6.4999999999999996e-06,0
6.5999999999999995e-06,0
6.6999999999999994e-06,0
6.7999999999999993e-06,0
6.9e-06,0
6.9999999999999999e-06,0
7.0999999999999998e-06,0
7.1999999999999997e-06,0
7.2999999999999996e-06,0
7.3999999999999995e-06,3.5155108065217018
7.4999999999999993e-06,3.5197524857877496
7.6000000000000001e-06,3.5240699758442289
7.6999999999999991e-06,3.5284461626495185
7.7999999999999999e-06,3.5328674920316385
7.8999999999999989e-06,3.5373230458399578
7.9999999999999996e-06,3.5418041405720566
8.1000000000000004e-06,3.5463033383429425
8.1999999999999994e-06,3.5508154164085197
8.3000000000000002e-06,3.5553357474060157
8.3999999999999992e-06,3.5598608443063582
8.4999999999999999e-06,3.5643880530529435
8.599999999999999e-06,3.5689149490444958
8.6999999999999997e-06,0
8.8000000000000004e-06,0
8.8999999999999995e-06,0
9.0000000000000002e-06,0
9.0999999999999993e-06,0
9.2e-06,0
9.299999999999999e-06,0
9.3999999999999998e-06,0
9.4999999999999988e-06,0
9.5999999999999996e-06,0
9.7000000000000003e-06,0
9.7999999999999993e-06,0
9.9000000000000001e-06,0
9.9999999999999991e-06,0
1.01e-05,0
1.0199999999999999e-05,0
1.03e-05,0
1.0399999999999999e-05,0
1.0499999999999999e-05,0
1.06e-05,0
1.0699999999999999e-05,0
1.08e-05,0
1.0899999999999999e-05,0
1.1e-05,0
1.1099999999999999e-05,0
1.1199999999999999e-05,0
1.13e-05,0
