"Time","Q7:Device voltage"
0,0
9.9999999999999995e-08,0
1.9999999999999999e-07,0
2.9999999999999999e-07,0
3.9999999999999998e-07,0
4.9999999999999998e-07,0
5.9999999999999997e-07,0
6.9999999999999997e-07,0
7.9999999999999996e-07,0
8.9999999999999996e-07,0
9.9999999999999995e-07,4.3953606123674557e-05
1.1000000000000001e-06,0.00021032481318703026
1.1999999999999999e-06,0.00014562736129111352
1.2999999999999998e-06,8.290347033247715e-05
1.3999999999999999e-06,2.2083764308275549e-05
1.5e-06,0
1.5999999999999999e-06,0
1.6999999999999998e-06,0
1.7999999999999999e-06,0
1.9e-06,0
1.9999999999999999e-06,0
2.0999999999999998e-06,0
2.2000000000000001e-06,0
2.3e-06,0
2.3999999999999999e-06,0
2.4999999999999998e-06,0
2.5999999999999997e-06,0
2.7e-06,0
2.7999999999999999e-06,0
2.8999999999999998e-06,0
3.0000000000000001e-06,0
3.1e-06,0
3.1999999999999999e-06,0
3.2999999999999997e-06,0
3.3999999999999996e-06,0
3.4999999999999999e-06,0
3.5999999999999998e-06,0
3.6999999999999997e-06,0
3.8e-06,0
3.8999999999999999e-06,0
3.9999999999999998e-06,0
4.0999999999999997e-06,0
4.1999999999999996e-06,0
4.2999999999999995e-06,0
4.4000000000000002e-06,0
4.5000000000000001e-06,0
4.6e-06,0
4.6999999999999999e-06,0
4.7999999999999998e-06,0
4.8999999999999997e-06,0
4.9999999999999996e-06,0
5.0999999999999995e-06,0.0033868613407108681
5.1999999999999993e-06,0.003521065682460368
5.3000000000000001e-06,0.0036472125842344208
5.4e-06,0.0037658641159917889
5.4999999999999999e-06,0.0038775429542237221
5.5999999999999997e-06,0.0039827351444950351
5.6999999999999996e-06,0.00408189266840549
5.7999999999999995e-06,0.0041754358307734005
5.8999999999999994e-06,0.0042637554795351201
6.0000000000000002e-06,0.0043472150699958127
6.1e-06,0.0044261525846139745
6.1999999999999999e-06,0.0045008823179911303
6.2999999999999998e-06,0.004571696537022398
6.3999999999999997e-06,0.0046388670244191885
6.4999999999999996e-06,0.0047026465144192238
6.5999999999999995e-06,0.0047632700275982423
6.6999999999999994e-06,0.004820956112160232
6.7999999999999993e-06,0.0048759079984649553
6.9e-06,0.0049283146723625611
6.9999999999999999e-06,0.0049783518735609837
7.0999999999999998e-06,0
7.1999999999999997e-06,0
7.2999999999999996e-06,0
7.3999999999999995e-06,0
7.4999999999999993e-06,0
7.6000000000000001e-06,0
7.6999999999999991e-06,0
7.7999999999999999e-06,0
7.8999999999999989e-06,0
7.9999999999999996e-06,0
8.1000000000000004e-06,0
8.1999999999999994e-06,0
8.3000000000000002e-06,0
8.3999999999999992e-06,0
8.4999999999999999e-06,0
8.599999999999999e-06,0
8.6999999999999997e-06,0
8.8000000000000004e-06,0
8.8999999999999995e-06,0
9.0000000000000002e-06,0.0066217023008919461
9.0999999999999993e-06,0.0072912822179394239
9.2e-06,0.0076725045763704203
9.299999999999999e-06,0.0080324078193932322
9.3999999999999998e-06,0.0083724800419868114
9.4999999999999988e-06,0.0086941050400220921
9.5999999999999996e-06,0.008998569622661946
9.7000000000000003e-06,0.0092870704090678834
9.7999999999999993e-06,0.0095607201492808411
9.9000000000000001e-06,0.0098205536009016992
9.9999999999999991e-06,0.010067532995557155
1.01e-05,0.010302553120800167
1.0199999999999999e-05,0.01052644604685341
1.03e-05,0.01073998552191404
1.0399999999999999e-05,0.01094389105919683
1.0499999999999999e-05,0.011138831737553541
1.06e-05,0.011325429736103327
1.0699999999999999e-05,0.011504263621001629
1.08e-05,0.011675871401286331
1.0899999999999999e-05,0.01184075337176394
1.1e-05,0.011999374755810222
1.1099999999999999e-05,0
1.1199999999999999e-05,0
1.13e-05,0
1.1399999999999999e-05,0
1.15e-05,0
1.1599999999999999e-05,0
1.17e-05,0
1.1799999999999999e-05,0
1.19e-05,0
1.2e-05,0
1.2099999999999999e-05,0
1.22e-05,0
1.2299999999999999e-05,0
1.24e-05,0
1.2499999999999999e-05,0
1.26e-05,0
1.2699999999999999e-05,0
1.2799999999999999e-05,0
1.29e-05,0
1.2999999999999999e-05,0
1.31e-05,0.011724970851669415
1.3199999999999999e-05,0.012402531809268379
1.33e-05,0.013042194015923029
1.3399999999999999e-05,0.013646603811627593
1.3499999999999999e-05,0.014218222058241801
1.3599999999999999e-05,0.014759337141417023
1.3699999999999999e-05,0.015272077058348443
1.38e-05,0.015758420656717852
1.3899999999999999e-05,0.016220208087732748
1.4e-05,0.016659150525117804
1.4099999999999999e-05,0.017076839204902487
1.42e-05,0.017474753830016627
1.4299999999999999e-05,0.017854270385177843
1.4399999999999999e-05,0.018216668408112566
1.45e-05,0.018563137746155232
1.4599999999999999e-05,0.018894784842775982
1.47e-05,0.019212638581824707
1.4799999999999999e-05,0.019517655723888236
1.49e-05,0.019810725959654607
1.4999999999999999e-05,0.020092676610561046
1.5099999999999999e-05,0
1.52e-05,0
1.5299999999999999e-05,0
1.5399999999999998e-05,0
1.5500000000000001e-05,0
1.56e-05,0
1.5699999999999999e-05,0
1.5799999999999998e-05,0
1.59e-05,0
1.5999999999999999e-05,0
1.6099999999999998e-05,0
1.6200000000000001e-05,0
1.63e-05,0
1.6399999999999999e-05,0
1.6499999999999998e-05,0
1.66e-05,0
1.6699999999999999e-05,0
1.6799999999999998e-05,0
1.6900000000000001e-05,0
1.7e-05,0.01531822784997802
1.7099999999999999e-05,0.016690364769124413
1.7199999999999998e-05,0.017707206229500155
1.73e-05,0.018666685903239819
1.7399999999999999e-05,0.019572810166084729
1.7499999999999998e-05,0.020429304593234551
1.7600000000000001e-05,0.021239633645117398
1.77e-05,0.022007018965151729
1.7799999999999999e-05,0.022734456395896229
1.7899999999999998e-05,0.023424731802993422
1.8e-05,0.024080435792960084
1.8099999999999999e-05,0.024703977392780536
1.8199999999999999e-05,0.025297596777050468
1.8299999999999998e-05,0.025863377101025889
1.84e-05,0.026403255503157256
1.8499999999999999e-05,0.026919033340031675
1.8599999999999998e-05,0.0274123856990636
1.8700000000000001e-05,0.027884870250116801
1.88e-05,0.028337935472275349
1.8899999999999999e-05,0.028772928306809935
1.8999999999999998e-05,0.029191101271747184
1.91e-05,0
1.9199999999999999e-05,0
1.9299999999999998e-05,0
1.9400000000000001e-05,0
1.95e-05,0
1.9599999999999999e-05,0
1.9699999999999998e-05,0
1.98e-05,0
1.9899999999999999e-05,0
1.9999999999999998e-05,0
2.0100000000000001e-05,0
2.02e-05,0
2.0299999999999999e-05,0
2.0399999999999998e-05,0
2.05e-05,0
2.0599999999999999e-05,0
2.0699999999999998e-05,0
2.0799999999999997e-05,0
2.09e-05,0
2.0999999999999999e-05,0.02052444905239616
2.1099999999999998e-05,0.022307103553937651
2.12e-05,0.023697409165682078
